Paragraph,Date
"Robert James Grey, Jr., of Virginia, to be a Mem- ber of the Board of Directors of the Legal Services Corporation for a term expiring July 13, 2014. Thomas Edgar Rothman, of Maryland, to be a Member of the National Council on the Arts for a term expiring September 3, 2016. Mark D. Gearan, of New York, to be a Member of the Board of Directors of the Corporation for Na- tional and Community Service for a term expiring December 1, 2015.","Dec 16, 2014"
"Janet Garvin McCabe, of the District of Colum- bia, to be an Assistant Administrator of the Environ- mental Protection Agency.","Dec 16, 2014"
"Suzette M. Kimball, of West Virginia, to be Di- rector of the United States Geological Survey. Heidi Neel Biggs, of Oregon, to be a Member of the Board of Directors of the Corporation for Na- tional and Community Service for a term expiring October 6, 2017.","Dec 16, 2014"
"Westley Watende Omari Moore, of Maryland, to be a Member of the Board of Directors of the Cor- poration for National and Community Service for a term expiring October 6, 2016.","Dec 16, 2014"
"Richard Christman, of Kentucky, to be a Member of the Board of Directors of the Corporation for Na- tional and Community Service for a term expiring October 6, 2017.","Dec 16, 2014"
"December 16, 2014","Dec 16, 2014"
CONGRESSIONAL RECORD-DAILY DIGEST,"Dec 16, 2014"
"Shamina Singh, of New York, to be a Member of the Board of Directors of the Corporation for Na- tional and Community Service for a term expiring October 6, 2014.","Dec 16, 2014"
"Shamina Singh, of New York, to be a Member of the Board of Directors of the Corporation for Na- tional and Community Service for a term expiring October 6, 2019.","Dec 16, 2014"
"William P. Doyle, of Pennsylvania, to be a Fed- eral Maritime Commissioner for a term expiring June 30, 2018. Ann Elizabeth Dunkin, of California, to be an As- sistant Administrator of the Environmental Protec- tion Agency.","Dec 16, 2014"
"Mileydi Guilarte, of the District of Columbia, to be United States Alternate Executive Director of the Inter-American Development Bank. Cassandra Q. Butts, of the District of Columbia, to be Ambassador to the Commonwealth of The Ba- hamas.","Dec 16, 2014"
"Allison Beck, of the District of Columbia, to be Federal Mediation and Conciliation Director.","Dec 16, 2014"
"Earl L. Gay, of the District of Columbia, to be Deputy Director of the Office of Personnel Manage- ment.","Dec 16, 2014"
"Alfred H. Bennett, of Texas, to be United States District Judge for the Southern District of Texas. George C. Hanks, Jr., of Texas, to be United States District Judge for the Southern District of Texas.","Dec 16, 2014"
"Jose Rolando Olvera, Jr., of Texas, to be United States District Judge for the Southern District of Texas.","Dec 16, 2014"
"Jill N. Parrish, of Utah, to be United States Dis- trict Judge for the District of Utah.","Dec 16, 2014"
"Jeffery S. Hall, of Kentucky, to be a Member of the Farm Credit Administration Board, Farm Credit Administration, for a term expiring October 13,","Dec 16, 2014"
"2018. Jay Neal Lerner, of Illinois, to be Inspector Gen- eral, Federal Deposit Insurance Corporation. Dava J. Newman, of Massachusetts, to be Deputy Administrator of the National Aeronautics and Space Administration.","Dec 16, 2014"
"Mark Scarano, of New Hampshire, to be Federal Cochairperson of the Northern Border Regional Commission.","Dec 16, 2014"
"D1149 Azita Raji, of California, to be Ambassador to the Kingdom of Sweden.","Dec 16, 2014"
"Sim Farar, of California, to be a Member of the United States Advisory Commission on Public Di- plomacy for a term expiring July 1, 2015. Sim Farar, of California, to be a Member of the United States Advisory Commission on Public Di- plomacy for a term expiring July 1, 2018. William Joseph Hybl, of Colorado, to be a Mem- ber of the United States Advisory Commission on Public Diplomacy for a term expiring July 1, 2015.","Dec 16, 2014"
"Romonia S. Dixon, of Arizona, to be a Member of the Board of Directors of the Corporation for Na- tional and Community Service for a term expiring October 6, 2018.","Dec 16, 2014"
"Walter A. Barrows, of Ohio, to be a Member of the Railroad Retirement Board for a term expiring August 28, 2019.","Dec 16, 2014"
"Robert A. Salerno, of the District of Columbia, to be an Associate Judge of the Superior Court of the District of Columbia for the term of fifteen years. David S. Shapira, of Pennsylvania, to be a Gov- ernor of the United States Postal Service for a term expiring December 8, 2019. Michelle K. Lee, of California, to be Under Sec- retary of Commerce for Intellectual Property and Di- rector of the United States Patent and Trademark Office.","Dec 16, 2014"
"Adewale Adeyemo, of California, to be an Assist- ant Secretary of the Treasury.","Dec 16, 2014"
"Daniel R. Elliott III, of Ohio, to be a Member of the Surface Transportation Board for a term expiring December 31, 2018. Marisa Lago, of New York, to be a Deputy United States Trade Representative, with the rank of Ambassador. Antonio F. Weiss, of New York, to be an Under Secretary of the Treasury. David Avren Jones, of Connecticut, to be a Mem- ber of the Federal Retirement Thrift Investment Board for a term expiring October 11, 2018. Michael D. Kennedy, of Georgia, to be a Member of the Federal Retirement Thrift Investment Board for a term expiring September 25, 2018. Luis Felipe Restrepo, of Pennsylvania, to be United States Circuit Judge for the Third Circuit. Kara Farnandez Stoll, of Virginia, to be United States Circuit Judge for the Federal Circuit. Dale A. Drozd, of California, to be United States District Judge for the Eastern District of California. LaShann Moutique DeArcy Hall, of New York, to be United States District Judge for the Eastern Dis- trict of New York.","Dec 16, 2014"
"Michael Greco, of New York, to be United States Marshal for the Southern District of New York for the term of four years. Elissa Slotkin, of the District of Columbia, to be an Assistant Secretary of Defense.","Dec 16, 2014"
"John E. Mendez, of California, to be a Director of the Securities Investor Protection Corporation for a term expiring December 31, 2015. Loretta E. Lynch, of New York, to be Attorney General.","Dec 16, 2014"
D1150,"Dec 16, 2014"
CONGRESSIONAL RECORD DAILY DIGEST,"Dec 16, 2014"
"Matthew Stuart Butler, of Ohio, to be a Member of the Election Assistance Commission for a term ex- piring December 12, 2015. Ann Donnelly, of New York, to be United States District Judge for the Eastern District of New York. Roseann A. Ketchmark, of Missouri, to be United States District Judge for the Western District of Missouri. Travis Randall McDonough, of Tennessee, to be United States District Judge for the Eastern District of Tennessee. 9 Air Force nominations in the rank of general. 7 Army nominations in the rank of general. 1 Coast Guard nomination in the rank of admiral. 1 Marine Corps nomination in the rank of general. 1 Navy nomination in the rank of admiral. Routine lists in the Air Force, Army, Foreign Service, and Navy. Pages S6930-33 Messages from the House: Page S6920 Petitions and Memorials: Pages S6920-21","Dec 16, 2014"
"Chamber Action Public Bills and Resolutions Introduced: 2 public bills, H.R. 5887-5888; were introduced. Page H10325 Additional Cosponsors: Page H10325 Reports Filed: A report was filed on December 15, 2014 as follows: H.R. 2131, to amend the Immigration and Na- tionality Act to enhance American competitiveness through the encouragement of high-skilled immigra- tion, and for other purposes, with an amendment (H. Rept. 113-676, Part 1). Reports were filed today as follows:","Dec 16, 2014"
"H.R. 1772, to amend the Immigration and Na- tionality Act to make mandatory and permanent re- quirements relating to use of an electronic employ- ment eligibility verification system, and for other purposes, with an amendment (H. Rept. 113–677, Part 1) and","Dec 16, 2014"
House of Representatives,"Dec 16, 2014"
"H.R. 2278, to amend the Immigration and Na- tionality Act to improve immigration law enforce- ment within the interior of the United States, and for other purposes, with an amendment (H. Rept. 113-678, Part 1). Page H10324 Speaker: Read a letter from the Speaker wherein he appointed Representative Neugebauer to act as Speaker pro tempore for today. Page H10319","Dec 16, 2014"
Additional Cosponsors: Statements on Introduced Bills/Resolutions:,"Dec 16, 2014"
Additional Statements: Amendments Submitted:,"Dec 16, 2014"
"December 16, 2014","Dec 16, 2014"
Page S6921,"Dec 16, 2014"
Pages S6921-23 Pages S6918-20,"Dec 16, 2014"
"Page S6924 Record Votes: Eight record votes were taken today. (Total-366) Pages S6885, S6897, 6903, 6906 Adjournment: Senate convened at 10 a.m. and ad- journed sine die, pursuant to the provisions of H. Con. Res. 125, at 11:25 p.m., until 12 p.m. on Tuesday, January 6, 2015. (For Senate's program, see the remarks of the Acting Majority Leader in today's Record on page S6930.) Committee Meetings (Committees not listed did not meet) No committee meetings were held.","Dec 16, 2014"
"Guest Chaplain: The prayer was offered by the Guest Chaplain, Br. Thomas More Garrett, Domini- can House of Studies, Washington, DC. Page H10319 Meeting Hour: Agreed by unanimous consent that when the House adjourns today, it adjourn to meet at 12 noon on Friday, December 19th, unless it sooner has received a message from the Senate trans- mitting its concurrence in H. Con. Res. 125, in which case the House shall stand adjourned pursuant to that concurrent resolution. Page H10321 Senate Messages: Messages received from the Senate by the Clerk and subsequently presented to the House today appear on pages H10320. Senate Referrals: S. 706 and S. 1744 were held at the desk. Page H10320 Quorum Calls Votes: There were no yea-and-nay votes, and there were no Recorded votes. There were no quorum calls.","Dec 16, 2014"
"Adjournment: The House met at 12 noon and at 12:08 p.m., the House stands adjourned until noon on Friday, December 19, 2014, unless it sooner has received a message from the Senate transmitting its concurrence in H. Con. Res. 125, in which case the House shall stand adjourned pursuant to that con- current resolution.","Dec 16, 2014"
"December 16, 2014","Dec 16, 2014"
CONGRESSIONAL RECORD - DAILY DIGEST,"Dec 16, 2014"
Committee Meetings No hearings were held.,"Dec 16, 2014"
Joint Meetings No joint committee meetings were held.,"Dec 16, 2014"
D1151,"Dec 16, 2014"
"COMMITTEE MEETINGS FOR WEDNESDAY, DECEMBER 17, 2014 (Committee meetings are open unless otherwise indicated) Senate","Dec 16, 2014"
"Committee on Environment and Public Works: Sub- committee on Clean Air and Nuclear Safety, to hold an oversight hearing to examine the Environmental Protec- tion Agency's proposed National Ambient Air Quality Standards for ozone, 2:30 p.m., SD-406. House No hearings are scheduled.","Dec 16, 2014"
D1152,"Dec 16, 2014"
CONGRESSIONAL RECORD-DAILY DIGEST,"Dec 16, 2014"
"Next Meeting of the SENATE 12 noon, Tuesday, January 6","Dec 16, 2014"
"Senate Chamber Program for Tuesday: Following the presentation of the certificates of election and the swearing-in of elected Members, there will be a required live quorum.","Dec 16, 2014"
HOUSE,"Dec 16, 2014"
"Next Meeting of the HOUSE OF REPRESENTATIVES 12 p.m., Friday, December 19","Dec 16, 2014"
"Extensions of Remarks, as inserted in this issue.","Dec 16, 2014"
"December 16, 2014","Dec 16, 2014"
House Chamber Program for Friday: To be announced.,"Dec 16, 2014"
"Aderholt, Robert B., Ala., E1848, E1853 Bentivolio, Kerry L., Mich., E1849 Farr, Sam, Calif., E1847 Israel, Steve, N.Y., E1852 Kaptur, Marcy, Ohio, E1854 Lipinski, Daniel, Ill., E1847 Pallone, Frank, Jr., N.J., E1854 Roybal-Allard, Lucille, Calif., E1847 Smith, Adam, Wash., E1852 Stockman, Steve, Tex., E1849 Van Hollen, Chris, Md., E1848","Dec 16, 2014"
"Congressional Record The Congressional Record (USPS 087–390). The Periodicals postage is paid at Washington, D.C. The public proceedings of each House of Congress, as reported by the Official Reporters thereof, are printed pursuant to directions of the Joint Committee on Printing as authorized by appropriate provisions of Title 44, United States Code, and published for each day that one or both Houses are in session, excepting very infrequent instances when two or more unusually small consecutive issues are printed one time. ¶Public access to the Congressional Record is available online through the U.S. Government Printing Office, at www.fdsys.gov, free of charge to the user. The information is updated online each day the Congressional Record is published. For more information, contact the GPO Customer Contact Center, U.S. Government Printing Office. Phone 202-512-1800, or 866-512-1800 (toll-free). E-Mail, contactcenter@gpo.gov. To place an order for any of these products, visit the U.S. Government Online Bookstore at: bookstore.gpo.gov. Mail orders to: Superintendent of Documents, P.O. Box 979050, St. Louis, MO 63197-9000, or phone orders to 866-512-1800 (toll-free), 202-512-1800 (D.C. area), or fax to 202-512-2104. Remit check or money order, made payable to the Superintendent of Documents, or use VISA, MasterCard, Discover, American Express, or GPO Deposit Account. ¶Following each session of Congress, the daily Congressional Record is revised, printed, permanently bound and sold by the Superintendent of Documents in individual parts or by sets. With the exception of copyrighted articles, there are no restrictions on the republication of material from the Congressional Record.","Dec 16, 2014"
"POSTMASTER: Send address changes to the Superintendent of Documents, Congressional Record, U.S. Government Printing Office, Washington, D.C. 20402, along with the entire mailing label from the last issue received.","Dec 16, 2014"
INFORMATION,"Dec 15, 2014"
CORRECTION,"Dec 15, 2014"
Daily Digest,"Dec 15, 2014"
"Chamber Action Routine Proceedings, pages S6821-S6867 Measures Passed:","Dec 15, 2014"
Senate,"Dec 15, 2014"
"Collectible Coin Protection Act: Committee on Commerce, Science, and Transportation was dis- charged from further consideration of H.R. 2754, to amend the Hobby Protection Act to make unlawful the provision of assistance or support in violation of that Act, and the bill was then passed. Page S6839","Dec 15, 2014"
"John H. Chafee Coastal Barrier Resources Sys- tem: Senate passed H.R. 3572, to revise the bound- aries of certain John H. Chafee Coastal Barrier Re- sources System units. Pages S6839-40","Dec 15, 2014"
"Permanent Electronic Duck Stamp Act: Senate passed H.R. 1206, to grant the Secretary of the Inte- rior permanent authority to authorize States to issue electronic duck stamps. Page S6840","Dec 15, 2014"
"John Rhoades Federal Judicial Center and James M. Carter and Judith N. Keep United States Courthouse: Senate passed H.R. 1378, to des- ignate the United States Federal Judicial Center lo- cated at 333 West Broadway in San Diego, Cali- fornia, as the “John Rhoades Federal Judicial Center"" and to designate the United States courthouse lo- cated at 333 West Broadway in San Diego, Cali- fornia, as the “James M. Carter and Judith N. Keep United States Courthouse"". Page S6840 May 31, 1918 Act Repeal Act: Senate passed H.R. 5050, to repeal the Act of May 31, 1918. Page S6840 EARLY Act Reauthorization: Senate passed H.R. 5185, to reauthorize the Young Women's Breast Health Education and Awareness Requires Learning Young Act 2009. Page S6840","Dec 15, 2014"
"Monday, December 15, 2014","Dec 15, 2014"
"United States Commission on International Re- ligious Freedom: Senate passed H.R. 5816, to ex- tend the authorization for the United States Com- mission on International Religious Freedom.","Dec 15, 2014"
"Page S6840 Transnational Drug Trafficking Act: Com- mittee on the Judiciary was discharged from further consideration of S. 706, to provide the Department","Dec 15, 2014"
"additional target of Justice with tools to extraterritorial drug trafficking activity, and the bill was then passed. Pages S6840-41","Dec 15, 2014"
"Barry M. Goldwater Post Office: Committee on Homeland Security and Governmental Affairs was discharged from further consideration of H.R. 3027, to designate the facility of the United States Postal Service located at 442 Miller Valley Road in Pres- cott, Arizona, as the ""Barry M. Goldwater Post Of- fice"", and the bill was then passed. Page S6841","Dec 15, 2014"
"Staff Sergeant Manuel V. Mendoza Post Office Building Committee on Homeland Security and Governmental Affairs was discharged from further consideration of H.R. 4416, to redesignate the facil- ity of the United States Postal Service located at 161 Live Oak Street in Miami, Arizona, as the ""Staff Ser- geant Manuel V. Mendoza Post Office Building”, and the bill was then passed. Page S6841","Dec 15, 2014"
"Specialist Keith Erin Grace, Jr. Memorial Post Office: Committee on Homeland Security and Gov- ernmental Affairs was discharged from further con- sideration of H.R. 4651, to designate the facility of the United States Postal Service located at 601 West Baker Road in Baytown, Texas, as the ""Specialist Keith Erin Grace, Jr. Memorial Post Office"", and the bill was then passed. Page S6841","Dec 15, 2014"
"Colonel M.J. 'Mac' Dube, USMC Post Office Building Committee on Homeland Security and Governmental Affairs was discharged from further consideration of H.R. 5331, to designate the facility of the United States Postal Service located at 73839 Gorgonio Drive in Twentynine Palms, California, as the ""Colonel M.J. 'Mac' Dube, USMC Post Office Building”, and the bill was then passed. Page S6841","Dec 15, 2014"
"Federal Correctional Officer Scott J. Williams Memorial Post Office Building: Committee on Homeland Security and Governmental Affairs was discharged from further consideration of H.R. 5562, to designate the facility of the United States Postal Service located at 801 West Ocean Avenue in Lompoc, California, as the ""Federal Correctional Of- ficer Scott J. Williams Memorial Post Office Build- ing"", and the bill was then passed. Page S6841 D1137","Dec 15, 2014"
"D1138 CORRECTION CONGRESSIONAL RECORD-DAILY DIGEST Veterans Traumatic Brain Injury Care Im- provement Act: Committee on Veterans' Affairs was discharged from further consideration of H.R. 4276, to extend and modify a pilot program on assisted living services for veterans with traumatic brain in- jury, and the bill was then passed. Page S6841 Juanita Millender-McDonald Post Office: Com- mittee on Homeland Security and Governmental Af- fairs was discharged from further consideration of H.R. 5687, to designate the facility of the United States Postal Service located at 101 East Market Street in Long Beach, California, as the “Juanita Millender-McDonald Post Office"", and the bill was then passed. Page S6841","Dec 15, 2014"
"Security Clearance Accountability, Reform, and Enhancement Act: Senate passed S. 1744, to strengthen the accountability of individuals involved in misconduct affecting the integrity of background investigations, to update guidelines for position des- ignation, after agreeing to the committee amend- ment in the nature of a substitute, and the com- mittee amendment to the title. Page S6866-67","Dec 15, 2014"
"Senator Paul Simon Water for the World Act: Senate passed H.R. 2901, to strengthen implementa- tion of the Senator Paul Simon Water for the Poor Act of 2005 by improving the capacity of the United States Government to implement, leverage, and monitor and evaluate programs to provide first- time or improved access to safe drinking water, sani- tation, and hygiene to the world's poorest on an eq- uitable and sustainable basis. Page S6867 National Park Service and Related Programs: Committee on the Judiciary was discharged from further consideration of H.R. 1068, to enact title 54, United States Code, ""National Park Service and Re- lated Programs"", as positive law, and the bill was then passed. Page S6867","Dec 15, 2014"
"Boys Town Centennial Commemorative Coin Act: Committee on Banking, Housing, and Urban Affairs was discharged from further consideration of H.R. 2866, to require the Secretary of the Treasury to mint coins in commemoration of the centennial of Boys Town, and the bill was then passed, after agreeing to the following amendment proposed thereto: Page S6867 Walsh (for Johanns) Amendment No. 4120, to provide that surcharges received from the sale of coins under the Act are used to reduce the national debt. Page S6867 Measures Considered: Tax Increase Prevention Act: Senate began consid- eration of the motion to proceed to consideration of H.R. 5771, to amend the Internal Revenue Code of 1986 to extend certain expiring provisions and make technical corrections, to amend the Internal Revenue","Dec 15, 2014"
"December 15, 2014 Code of 1986 to provide for the tax treatment of ABLE accounts established under State programs for the care of family members with disabilities.","Dec 15, 2014"
"Page S6823 Santos Nomination-Cloture: Senate resumed con- sideration of the nomination of Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Fa- cilities Safety Board.","Dec 15, 2014"
"Pages S6823-39, S6841-49, S6850-51 During consideration of this nomination today, Senate also took the following action: By 54 yeas to 39 nays (Vote No. 357), Senate agreed to the motion to close further debate on the nomination. Page S6851","Dec 15, 2014"
"Rose Nomination-Cloture: Senate resumed con- sideration of the nomination of Frank A. Rose, of Massachusetts, to be an Assistant Secretary of State (Verification and Compliance).","Dec 15, 2014"
"Pages S6823-39, S6841-49, S6851 During consideration of this nomination today, Senate also took the following action: By 54 yeas to 39 nays (Vote No. 358), Senate agreed to the motion to close further debate on the nomination. Page S6851 Saldana Nomination: Senate resumed consideration of the nomination of Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Security. Pages S6823-39, S6841-49 Saldana Nomination-Agreement: A unanimous- consent-time agreement was reached providing that following disposition of the nomination of Frank A. Rose, of Massachusetts, to be an Assistant Secretary of State (Verification and Compliance); that there be three hours for debate equally divided in the usual form on the motion to invoke cloture on the nomi- nation of Sarah R. Saldana, of Texas, to be an Assist- ant Secretary of Homeland Security; and that the time from 2:15 p.m. until 2:30 p.m. be equally di- vided in the usual form; with all other provisions of the previous order remaining in effect. Page S6865 Blinken Nomination: Senate resumed consideration of the nomination of Antony Blinken, of New York, to be Deputy Secretary of State.","Dec 15, 2014"
"Pages S6823-39, S6841-49 Nominations Confirmed: Senate confirmed the fol- lowing nominations: By 51 yeas to 43 nays (Vote No. EX. 356), Vivek Hallegere Murthy, of Massachusetts, to be Medical Director in the Regular Corps of the Public Health Service, subject to qualifications therefor as provided by law and regulations, and to be Surgeon General of the Public Health Service for a term of four years. Pages S6823-39, S6841-50 During consideration of this nomination today, Senate also took the following action:","Dec 15, 2014"
"December 15, 2014 By 51 yeas to 43 nays (Vote No. 355), Senate agreed to the motion to close further debate on the nomination. Pages S6865-66, S6867 Routine lists in the Foreign Service.","Dec 15, 2014"
"CONGRESSIONAL RECORD DAILY DIGEST CORRECTION D1139 Record Votes: Four record votes were taken today. (Total-358) Page S6849, S6850, S6851 Adjournment: Senate convened at 10 a.m. and ad- journed at 8:09 p.m., until 10 a.m. on Tuesday, De- cember 16, 2014. (For Senate's program, see the re- marks of the Majority Leader in today's Record on page S6867.)","Dec 15, 2014"
Amendments Submitted: Privileges of the Floor:,"Dec 15, 2014"
Enrolled Bills Presented: Executive Communications: Additional Cosponsors: Statements on Introduced Bills/Resolutions: Additional Statements:,"Dec 15, 2014"
"Pages S6866, S6867 Page S6865 Page S6865 Page S6865","Dec 15, 2014"
Committee Meetings No hearings were held.,"Dec 15, 2014"
House of Representatives,"Dec 15, 2014"
"Chamber Action The House was not in session today. The House is scheduled to meet at 12 noon on Tuesday, Decem- ber 16, 2014, unless it sooner has received a message from the Senate transmitting its concurrence in H. Con. Res. 125, in which case the House shall stand adjourned pursuant to that concurrent resolution.","Dec 15, 2014"
Page S6865 Page S6865,"Dec 15, 2014"
Joint Meetings No joint committee meetings were held.,"Dec 15, 2014"
"NEW PUBLIC LAWS (For last listing of Public Laws, see DAILY DIGEST, p. D1127) H.J. Res. 131, making further continuing appro- priations for fiscal year 2015. Signed on December 13, 2014. (Public Law 113-203)","Dec 15, 2014"
House No hearings are scheduled.,"Dec 15, 2014"
"COMMITTEE MEETINGS FOR TUESDAY, DECEMBER 16, 2014 (Committee meetings are open unless otherwise indicated) Senate No meetings/hearings scheduled.","Dec 15, 2014"
Committee Meetings (Committees not listed did not meet) No committee meetings were held.,"Dec 15, 2014"
"CONGRESSIONAL PROGRAM AHEAD Week of December 16 through December 19, 2014","Dec 15, 2014"
"Senate Chamber On Tuesday, Senate will continue consideration of the nominations of Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board, and Frank A. Rose, of Massachusetts, to be an Assistant Secretary of State (Verification and Compliance). At 10 a.m., Senate will vote on con- firmation of the nominations.","Dec 15, 2014"
"At 2:30 p.m., Senate will vote on the motion to invoke cloture on the nomination of Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Security, and if cloture is invoked, vote on confirmation of the nomination.","Dec 15, 2014"
"At 6 p.m., Senate will vote on the motion to in- voke cloture on the nomination of Antony Blinken, of New York, to be Deputy Secretary of State, and if cloture is invoked, vote on confirmation of the nomination.","Dec 15, 2014"
"During the balance of the week, Senate may con- sider any cleared legislative and executive business.","Dec 15, 2014"
"Senate Committees (Committee meetings are open unless otherwise indicated) Committee on Environment and Public Works: December 17, Subcommittee on Clean Air and Nuclear Safety, to hold an oversight hearing to examine the Environmental Protection Agency's proposed National Ambient Air Quality Standards for ozone, 2:30 p.m., SD-406.","Dec 15, 2014"
D1140,"Dec 15, 2014"
CONGRESSIONAL RECORD-DAILY DIGEST,"Dec 15, 2014"
"Next Meeting of the SENATE 10 a.m., Tuesday, December 16","Dec 15, 2014"
"Senate Chamber Program for Tuesday: Senate will continue consider- ation of the nominations of Daniel J. Santos, of Virginia, to be a Member of the Defense Nuclear Facilities Safety Board, and Frank A. Rose, of Massachusetts, to be an As- sistant Secretary of State (Verification and Compliance). At 10 a.m., Senate will vote on confirmation of the nominations.","Dec 15, 2014"
"At 2:30 p.m., Senate will vote on the motion to invoke cloture on the nomination of Sarah R. Saldana, of Texas, to be an Assistant Secretary of Homeland Security, and if cloture is invoked, vote on confirmation of the nomina- tion.","Dec 15, 2014"
"At 6 p.m., Senate will vote on the motion to invoke cloture on the nomination of Antony Blinken, of New York, to be Deputy Secretary of State, and if cloture is invoked, vote on confirmation of the nomination. (Senate will recess following the use or yielding back of time on the Sarah R. Saldana nomination until 2:15 p.m. for their respec- tive party conferences.)","Dec 15, 2014"
"December 15, 2014","Dec 15, 2014"
"Next Meeting of the HOUSE OF REPRESENTATIVES 12 p.m., Tuesday, December 16","Dec 15, 2014"
House Chamber Program for Tuesday: To be announced.,"Dec 15, 2014"
"Congressional Record The Congressional Record (USPS 087–390). The Periodicals postage is paid at Washington, D.C. The public proceedings of each House of Congress, as reported by the Official Reporters thereof, are printed pursuant to directions of the Joint Committee on Printing as authorized by appropriate provisions of Title 44, United States Code, and published for each day that one or both Houses are in session, excepting very infrequent instances when two or more unusually small consecutive issues are printed one time. ¶Public access to the Congressional Record is available online through the U.S. Government Printing Office, at www.fdsys.gov, free of charge to the user. The information is updated online each day the Congressional Record is published. For more information, contact the GPO Customer Contact Center, U.S. Government Printing Office. Phone 202-512-1800, or 866-512-1800 (toll-free). E-Mail, contactcenter@gpo.gov. To place an order for any of these products, visit the U.S. Government Online Bookstore at: bookstore.gpo.gov. Mail orders to: Superintendent of Documents, P.O. Box 979050, St. Louis, MO 63197-9000, or phone orders to 866-512-1800 (toll-free), 202-512-1800 (D.C. area), or fax to 202-512-2104. Remit check or money order, made payable to the Superintendent of Documents, or use VISA, MasterCard, Discover, American Express, or GPO Deposit Account. ¶Following each session of Congress, the daily Congressional Record is revised, printed, permanently bound and sold by the Superintendent of Documents in individual parts or by sets. With the exception of copyrighted articles, there are no restrictions on the republication of material from the Congressional Record.","Dec 15, 2014"
"POSTMASTER: Send address changes to the Superintendent of Documents, Congressional Record, U.S. Government Printing Office, Washington, D.C. 20402, along with the entire mailing label from the last issue received.","Dec 15, 2014"
"Saturday, December 13, 2014","Dec 13, 2014"
CORRECTION,"Dec 13, 2014"
HIGHLIGHTS,"Dec 13, 2014"
Daily Digest,"Dec 13, 2014"
"Senate agreed to the motion to concur in the amendment of the House of Representatives to the amendment of the Senate to H.R. 83, Con- solidated and Further Continuing Appropriations Act. Senate","Dec 13, 2014"
"Chamber Action Routine Proceedings, pages S6795–S6820 Measures Introduced: One resolution was intro- duced as follows: S.J. Res. 47. Page S6817 Measures Reported: S.J. Res. 47, to authorize the limited use of the United States Armed Forces against the Islamic State of Iraq and the Levant, with a preamble. (S. Rept. No. 113-323) Page S6817","Dec 13, 2014"
"Measures Passed: Further Continuing Appropriations: Senate passed H.J. Res. 131, making further continuing ap- propriations for fiscal year 2015. Page S6801 Prior to the consideration of this measure, Senate took the following action: By 52 yeas to 41 nays (Vote No. 336), Senate agreed to the motion to proceed to Legislative Ses- sion. Pages S6800-01 Enrollment Correction: Senate agreed to H. Con. Res. 122, providing for a correction in the enroll- ment of H.R. 83. Page S6814 Amended Provisions for the FAA Modernization and Reform Act of 2012: Senate passed H.R. 2591, to amend certain provisions of the FAA Moderniza- tion and Reform Act of 2012. Page S6819 Russian Federation Sanctions: Senate passed H.R. 5859, to impose sanctions with respect to the ussian Federation, to provide additional ssistance to Ukraine. House Messages: Page S6819","Dec 13, 2014"
D1130,"Dec 13, 2014"
"Consolidated and Further Continuing Appro- priations Act: By 56 yeas to 40 nays (Vote No. 354), Senate agreed to the motion to concur in the amendment of the House of Representatives to the amendment of the Senate to H.R. 83, making con- solidated appropriations for the fiscal year ending","Dec 13, 2014"
"September 30, 2015, after taking action on the fol- lowing motions and amendments proposed thereto: Pages S6796-97, S6809-14","Dec 13, 2014"
"Withdrawn: Reid motion to concur in the amendment of the House to the amendment of the Senate to the bill, with Reid Amendment No. 4100 (to the amend- ment of the House to the amendment of the Senate to the bill), to change the enactment date.","Dec 13, 2014"
"Page S6813 During consideration of this measure today, Senate also took the following action: By 77 yeas to 19 nays (Vote No. 352), three-fifths of those Senators duly chosen and sworn, having voted in the affirmative, Senate agreed to the motion to close further debate on the motion to concur in the amendment of the House to the amendment of the Senate to the bill. Pages S6809-10","Dec 13, 2014"
"Reid motion to refer the message of the House on the bill to the Committee on Appropriations, with instructions, Reid Amendment No. 4102, to change the enactment date, fell when cloture was invoked on the motion to concur in the amendment of the House to the amendment of the Senate to the bill. Page S6810","Dec 13, 2014"
"Reid Amendment No. 4103 (to (the instructions) Amendment No. 4102), of a perfecting nature, fell when Reid motion to refer the message of the House on the bill to the Committee on Appropriations, with instructions, Reid Amendment No. 4102, to change the enactment date fell. Page S6810 Reid Amendment No. 4104 (to Amendment No. 4103), of a perfecting nature, fell when Reid Amendment No. 4103 (to (the instructions) Amend- ment No. 4102), of a perfecting nature fell.","Dec 13, 2014"
"Page S6810 By 22 yeas to 74 nays (Vote No. 353), Senate de- termined that the point of order against Division L of the amendment of the House of Representatives to the amendment of the Senate to the bill, as being","Dec 13, 2014"
"CONGRESSIONAL RECORD DAILY DIGEST CORRECTION D1131 Subsequently, the motion to invoke cloture on the nomination was withdrawn. Page S6797","Dec 13, 2014"
"December 13, 2014 in violation of the separation of powers embodied in the vesting clause of article I, section 1, and article II, section 1, the enumerated powers of Congress, stated in article I, section 8, and the requirement that the President take care that the laws be faith- fully executed as states in article II, section 3 of the United States Constitution, was not well-taken.","Dec 13, 2014"
